STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
139,CE7_12,CE7U2_68,25/05/2020,07T,CE7,97.06,270,80,6,1190891.812,30.65052632,Tuyen Cua Nam,CN,0,0,6.51,1.699738903,182932.69,0,0.296296296,0.067071914,0,Sa,1,3.83,240000<E2<260000
140,CE7_12,CE7U2_68,25/05/2020,07T,CE7,90.43,265,102,22,1534805.269,33.28711656,Tuyen Cua Nam,CN,0.403,403,8.39,2.190600522,182932.69,0.11,0.38490566,0.092778945,0.004456486,T,4,3.83,240000<E2<260000
141,CE7_12,CE7U2_68,25/05/2020,07T,CE7,98.8,130,37,23,810936.4445,63.74193548,Tuyen Ly Thai To,LTT,1.052,1052,4.55,0.631944444,178227.79,0.15,0.284615385,0.046052632,0.010647773,C,3,7.2,240000<E2<260000
142,CE9_13,CE9.6U2_00,25/05/2020,13T,CE9,95.35,374,197,24,3802057.332,32.3220339,Tuyen Phan Chu Trinh,PCT,1.27,1270,14.38,2.934693878,264398.98,0.26,0.526737968,0.150812795,0.01331935,T,4,4.9,E2>260000
143,CE10_1,CE10U2_59,26/05/2020,11T,CE10,93.67,290,117,24,2926896.709,32.4867052,Tuyen Phan Chu Trinh,PCT,0.448,448,11.07,2.259183673,264398.98,0.09,0.403448276,0.118180848,0.004782748,T,4,4.9,E2>260000
144,CE6_3,CE6.2U2_88,26/05/2020,06T,CE6,96.28,341,124,20,1638757.93,26.62119816,Tuyen Cua Nam,CN,0.408,408,8.52,2.224543081,192342.48,0.11,0.363636364,0.088491899,0.00423764,C,3,3.83,E2>260000
145,CE6_7,CE6.2U2_80,26/05/2020,06T,CE6,89.51,340,160,6,1317928.773,29.83666667,Tuyen Bach Dang,BD,0.322,322,7.87,2.150273224,167462.36,0.09,0.470588235,0.087923137,0.003597363,D,5,3.66,E2<240000
146,CE6_7,CE6.2U2_80,26/05/2020,06T,CE6,87.19,235,59,7,1322952.644,29.72386364,Tuyen Bach Dang,BD,1.435,1435,7.9,2.158469945,167462.36,0.39,0.25106383,0.090606721,0.016458309,T,4,3.66,E2<240000
147,CE6_8,CE6.2U2_84,26/05/2020,06T,CE6,95.35,290,118,9,1677492.767,33.26162791,Tuyen Le Van Linh,LVL,3.306,3306,9.17,1.175641026,182932.69,0.42,0.406896552,0.096171998,0.03467226,Sa,1,7.8,240000<E2<260000
148,CE6_8,CE6.2U2_84,26/05/2020,06T,CE6,97.81,305,210,22,1525658.635,61.77473684,Tuyen Le Van Linh,LVL,5.026,5026,8.34,1.069230769,182932.69,0.64,0.68852459,0.085267355,0.051385339,C,3,7.8,240000<E2<260000
149,CE6_9,CE6.2U2_18,26/05/2020,06T,CE6,93.42,265,97,12,1361660.316,33.36428571,Tuyen Le Van Linh,LVL,0,0,7.64,0.979487179,178227.79,0,0.366037736,0.081781203,0,D,5,7.8,240000<E2<260000
150,CE7_10,CE7.7U2_38,26/05/2020,13T,CE9,105.07,425,204,14,3717449.659,28.52579186,Tuyen Le Van Linh,LVL,4.148,4148,14.06,1.802564103,264398.98,0.53,0.48,0.133815552,0.039478443,T,4,7.8,E2>260000
151,CE7_11,CE7U2_81,26/05/2020,07T,CE7,90.03,297,79,18,1425822.32,24.77889908,Tuyen Hang Dao,HD,1.542,1542,8,1.012658228,178227.79,0.2,0.265993266,0.088859269,0.017127624,D,5,7.9,240000<E2<260000
152,CE7_11,CE7U2_81,26/05/2020,07T,CE7,92.74,305,128,19,1343837.537,31.43728814,Tuyen Hang Dao,HD,0.75,750,7.54,0.95443038,178227.79,0.09,0.419672131,0.081302566,0.008087125,T,4,7.9,240000<E2<260000
153,CE7_12,CE7U2_68,26/05/2020,07T,CE7,87.95,139,94,15,1322603.349,11I66666666667,Tuyen Ly Thai To,LTT,0.23,230,7.23,1.004166667,182932.69,0.03,0.676258993,0.082205799,0.002615122,T,4,7.2,E2<240000
154,CE7_12,CE7U2_68,26/05/2020,07T,CE7,98.19,260,65,17,1339067.291,30.21230769,Tuyen Ly Thai To,LTT,0.22,220,7.32,1.016666667,182932.69,0.03,0.25,0.074549343,0.002240554,Sa,1,7.2,240000<E2<260000
